index,Site,Species,Foliage,SampleDate,SiteID,SpeciesID,ID,TreeAge,Expt.Date,FreshWeight,Weight.in.Water,TurgidWeight,DryWt,Data.Collection.Site,ComputracMC,Notes,Diam,LatinName,CommonName,Latitude,Longitude,Elevation,H2Otemp,H2Odens,Safresh,Thickfresh,DryWt,SLA_f,Conversion,SA_one_m,SA_all_m,d.wt.kg,SLA_one_mkg,SLA_all_mkg,f.wt.kg,s.wt.kg,LFMC,VWM,RWC,SLA_m_kg,LMA_kg_m,Vol_F_m,SAV_m,k,mes.mech.LFMC,week.of.year,doy,year
1,Blue Mountain,PSEMEN,New,9/20/2022,20,2,11008,mature,9/20/2022,0.015930001,-0.0016,0.01754,0.00616,5,0,NA,NA,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,24,0.997319996,35.07,NA,0.00616,11.38636364,2.3,3.51E-05,8.07E-05,6.16E-06,5.693181818,13.09431818,1.59E-05,1.75E-05,158.6039127,555.251161,85.85237597,13.09431818,0.076369,1.76E-08,4584.14638,646.7510709,158.6039127,38,263,2022
1,Blue Mountain,PSEMEN,Old,6/30/2022,20,2,10755,mature,6/30/2022,0.01008,-0.00054,0.01046,0.00514,5,0,NA,1.320000052,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,24.5,0.997200012,29.57,NA,0.00514,11.50583658,2.3,2.96E-05,6.80E-05,5.14E-06,5.752918288,13.23171206,1.01E-05,1.05E-05,96.10895604,463.3689642,92.85715786,13.23171206,0.07557601,1.07E-08,6379.389536,499.01265,96.10895604,26,181,2022
1,Blue Mountain,PSEMEN,Old,7/27/2022,20,2,10803,mature,7/27/2022,0.01317,-0.00113,0.015769999,0.00566,5,0,NA,NA,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,27,0.99654001,29.6,NA,0.00566,10.45936396,2.3,2.96E-05,6.81E-05,5.66E-06,5.229681979,12.02826855,1.32E-05,1.58E-05,132.6855239,NA,NA,12.02826855,0.083137482,1.44E-08,4739.364551,703.8039675,132.6855239,30,208,2022
1,Blue Mountain,PSEMEN,Old,8/25/2022,20,2,10948,mature,8/25/2022,0.01023,-0.00142,0.01258,0.00431,5,0,NA,NA,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,25,0.997070014,21.33,NA,0.00431,9.897911833,2.3,2.13E-05,4.91E-05,4.31E-06,4.948955916,11.38259861,1.02E-05,1.26E-05,137.3549792,NA,NA,11.38259861,0.087853406,1.17E-08,4194.310396,707.0455058,137.3549792,34,237,2022
1,Blue Mountain,PSEMEN,Old,9/20/2022,20,2,10996,mature,9/20/2022,0.00925,-0.00076,0.01154,0.00391,5,0,NA,NA,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,24,0.997319996,20.22,NA,0.00391,10.342711,2.3,2.02E-05,4.65E-05,3.91E-06,5.171355499,11.89411765,9.25E-06,1.15E-05,136.5728949,NA,NA,11.89411765,0.084075172,1.00E-08,4628.621954,759.3942107,136.5728949,38,263,2022
1,Jerry Johnson,ABIGRA,New,6/15/2022,27,10,11740,mature,6/16/2022,0.01307,-0.00299,0.016349999,0.00288,5,0,NA,1.909999967,Abies grandis,Grand Fir,46.47389,-114.88439,3081,23.5,0.997439981,39.33,1.91,0.00288,27.3125,2.1,3.93E-05,8.26E-05,2.88E-06,13.65625,28.678125,1.31E-05,1.63E-05,353.8194492,632.204763,75.6495984,28.678125,0.034869784,1.61E-08,5124.208684,835.7014133,353.8194492,24,166,2022
1,Jerry Johnson,ABIGRA,New,7/13/2022,27,10,11882,mature,7/13/2022,0.019200001,-0.00242,0.01987,0.00615,5,0,NA,0.449999988,Abies grandis,Grand Fir,46.47389,-114.88439,3081,26.5,0.996680021,39.06,0.45,0.00615,12.70243902,2.1,3.91E-05,8.20E-05,6.15E-06,6.351219512,13.33756098,1.92E-05,1.99E-05,212.1951471,600.9696468,95.11662507,13.33756098,0.074976225,2.17E-08,3777.404754,631.8239807,212.1951471,28,194,2022
1,Jerry Johnson,ABIGRA,New,8/24/2022,27,10,11369,mature,8/25/2022,0.020640001,-0.00547,0.02108,0.00779,5,0,NA,0.589999974,Abies grandis,Grand Fir,46.47389,-114.88439,3081,24.79999924,0.997120023,45.39,0.59,0.00779,11.6534018,2.1,4.54E-05,9.53E-05,7.79E-06,5.826700899,12.23607189,2.06E-05,2.11E-05,164.9550735,490.214182,96.68924289,12.23607189,0.081725576,2.62E-08,3636.320911,506.999711,164.9550735,34,236,2022
1,Jerry Johnson,ABIGRA,New,9/12/2022,27,10,11176,mature,9/13/2022,0.023460001,-0.00342,0.024590001,0.00932,5,0,NA,0.579999983,Abies grandis,Grand Fir,46.47389,-114.88439,3081,24.5,0.997200012,53.83,0.58,0.00932,11.55150215,2.1,5.38E-05,0.000113043,9.32E-06,5.775751073,12.12907725,2.35E-05,2.46E-05,151.7167412,524.0161159,92.59987077,12.12907725,0.082446504,2.70E-08,4189.275206,565.8929235,151.7167412,37,255,2022
1,Jerry Johnson,ABIGRA,Old,6/15/2022,27,10,11728,mature,6/16/2022,0.019850001,-0.00431,0.025450001,0.01028,5,0,NA,1.769999981,Abies grandis,Grand Fir,46.47389,-114.88439,3081,23.5,0.997439981,35.82,1.77,0.01028,6.968871595,2.5,3.58E-05,8.96E-05,1.03E-05,3.484435798,8.711089494,1.99E-05,2.55E-05,93.09339154,NA,NA,8.711089494,0.114796204,2.42E-08,3693.1569,625.6302847,93.09339154,24,166,2022
